bm25core,tes,ov,useful
12.63139845,0.647058824,0.5,no
12.55849444,0.921568627,0.75,no
12.48442988,0.62745098,0.5,no
12.26835142,0.588235294,0.5,no
11.74951008,0.784313725,0.5,no
11.28224721,0.784313725,0.583333333,no
10.94260212,0.745098039,0.5,no
10.94260212,0.705882353,0.5,no
10.79483341,0.803921569,0.666666667,no
10.79483341,0.803921569,0.666666667,no
10.79471307,0.803921569,0.666666667,yes
10.49830791,0.843137255,0.75,yes
10.41223436,0.784313725,0.583333333,yes
10.15654074,0.725490196,0.75,no
10.01154368,0.843137255,0.666666667,no
9.908869659,0.803921569,0.666666667,no
9.875437224,0.666666667,0.416666667,no
9.767676981,0.823529412,0.666666667,no
9.747145658,0.431372549,0.25,no
9.738248862,0.745098039,0.583333333,no
9.644445546,0.862745098,0.75,no
21.65950287,0.538461538,0.533333333,yes
21.02993651,0.596153846,0.666666667,no
21.02993651,0.596153846,0.666666667,no
20.70954363,0.596153846,0.666666667,no
20.05490002,0.596153846,0.666666667,yes
19.37769053,0.788461538,0.733333333,yes
19.22206453,0.653846154,0.6,yes
16.5321448,0.884615385,0.6,yes
16.1234365,0.884615385,0.6,yes
16.07863519,0.769230769,0.6,no
15.94193273,0.634615385,0.666666667,yes
15.65960383,0.692307692,0.533333333,no
15.055513,0.634615385,0.666666667,yes
14.34812488,0.576923077,0.466666667,yes
13.95295423,0.807692308,0.533333333,yes
13.4245698,0.480769231,0.4,no
13.30164313,0.75,0.666666667,yes
13.21416393,0.788461538,0.533333333,no
13.15343444,0.557692308,0.4,no
12.91591547,0.557692308,0.266666667,yes
12.59352116,0.5,0.333333333,no
12.11777704,0.673076923,0.466666667,no
11.82650345,0.730769231,0.333333333,no
11.6445275,0.519230769,0.266666667,yes
11.59183914,0.653846154,0.6,no
11.50291736,0.769230769,0.733333333,yes
11.44480929,0.692307692,0.333333333,yes
11.43673409,0.730769231,0.333333333,no
11.1932142,0.769230769,0.4,no
11.19201455,0.846153846,0.533333333,yes
27.12977479,0.265306122,0.304347826,no
26.44019194,0.612244898,0.52173913,yes
20.15909984,0.714285714,0.52173913,yes
19.73072424,0.642857143,0.565217391,no
19.06112076,0.602040816,0.391304348,no
19.05048442,0.704081633,0.434782609,no
19.00627324,0.806122449,0.608695652,yes
18.24094036,0.510204082,0.304347826,no
18.03615152,0.734693878,0.652173913,no
18.01636213,0.663265306,0.52173913,yes
17.169565,0.653061224,0.565217391,yes
16.7439297,0.540816327,0.347826087,no
16.70443869,0.795918367,0.47826087,no
16.37654596,0.653061224,0.434782609,no
16.27460466,0.571428571,0.391304348,no
16.20002226,0.714285714,0.434782609,no
16.16135655,0.673469388,0.434782609,no
15.65417822,0.408163265,0.260869565,no
15.62286066,0.704081633,0.434782609,no
15.48616064,0.734693878,0.47826087,no
15.35823035,0.591836735,0.304347826,no
15.35119378,0.520408163,0.347826087,no
15.20273279,0.714285714,0.47826087,no
15.20166878,0.591836735,0.347826087,no
15.06404454,0.591836735,0.304347826,no
14.97344633,0.642857143,0.391304348,yes
14.97180017,0.540816327,0.304347826,no
14.97180017,0.551020408,0.260869565,no
14.94167023,0.642857143,0.391304348,no
14.85207039,0.714285714,0.434782609,no
17.52020431,0.536231884,0.388888889,yes
16.12986453,0.666666667,0.444444444,no
14.56214541,0.666666667,0.555555556,no
14.38074501,0.594202899,0.388888889,no
14.21390438,0.579710145,0.388888889,no
14.01855327,0.623188406,0.555555556,no
13.9328181,0.594202899,0.5,no
13.62019508,0.768115942,0.611111111,no
13.39965404,0.68115942,0.5,no
13.33205277,0.637681159,0.5,no
13.32392659,0.52173913,0.388888889,no
12.88309182,0.753623188,0.666666667,no
12.83745038,0.594202899,0.388888889,no
